                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.908,                  2.407,                 1.8897,                0.49468,                0.27292,                0.28555,                0.14728,                 1.8627,                 2.0582,                 2.0831,               0.070095,              0.0033228,              0.0033228
                      1,                  1.782,                 1.9119,                 1.7559,                 0.5894,                0.26199,                0.24888,                0.11611,                 2.0415,                 2.3694,                 2.2409,               0.039884,              0.0064453,              0.0064453
                      2,                 1.8656,                 2.0088,                 1.8288,                0.44581,                0.20442,                0.18547,                0.08761,                 2.1265,                  2.503,                 2.3911,              0.0094626,              0.0093568,              0.0093568
                      3,                  1.956,                 2.1651,                 1.9204,                0.39412,                0.24898,                 0.2374,                0.11648,                   2.06,                  2.426,                 2.3586,                0.00905,                0.00905,                0.00905
                      4,                 1.9273,                  2.098,                 1.8956,                0.54996,                0.23721,                0.24571,                0.12521,                 1.9893,                 2.2475,                 2.2586,                0.00905,                0.00905,                0.00905
                      5,                 1.8955,                 2.0695,                 1.8732,                0.67106,                0.25137,                0.27257,                 0.1382,                 2.0095,                 2.2248,                 2.2469,              0.0087333,              0.0087333,              0.0087333
                      6,                 1.8452,                 1.9972,                 1.8547,                0.58244,                 0.2602,                0.29332,                0.14825,                 1.9097,                  2.081,                 2.1309,              0.0084167,              0.0084167,              0.0084167
                      7,                 1.8177,                 1.9633,                 1.8211,                0.56272,                0.26838,                 0.2903,                0.14245,                 1.9254,                 2.0725,                 2.2058,                 0.0081,                 0.0081,                 0.0081
                      8,                 1.7978,                 1.9194,                  1.803,                0.62352,                0.30628,                0.32658,                0.16642,                   1.78,                 1.9362,                 2.0393,              0.0077833,              0.0077833,              0.0077833
                      9,                 1.7616,                 1.8708,                  1.782,                0.63107,                0.29385,                0.33241,                0.17554,                  1.768,                 1.9236,                 2.0117,              0.0074667,              0.0074667,              0.0074667
